step 0, train : gen_loss is 0.47882, disc_loss is 2.49465,, cls_loss is 1.33935
step 10, train : gen_loss is 0.482973, disc_loss is 2.08963,, cls_loss is 1.3106
step 20, train : gen_loss is 0.48516, disc_loss is 2.07969,, cls_loss is 1.31133
step 30, train : gen_loss is 0.48517, disc_loss is 2.07947,, cls_loss is 1.30997
step 40, train : gen_loss is 0.485172, disc_loss is 2.07945,, cls_loss is 1.30867
step 50, train : gen_loss is 0.485189, disc_loss is 2.07945,, cls_loss is 1.30829
step 60, train : gen_loss is 0.485182, disc_loss is 2.07944,, cls_loss is 1.30812
step 70, train : gen_loss is 0.485199, disc_loss is 2.07944,, cls_loss is 1.30808
step 80, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30806
step 90, train : gen_loss is 0.4852, disc_loss is 2.07945,, cls_loss is 1.30802
step 100, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.308
step 110, train : gen_loss is 0.4852, disc_loss is 2.07945,, cls_loss is 1.30802
step 120, train : gen_loss is 0.485201, disc_loss is 2.07945,, cls_loss is 1.30799
step 130, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30796
step 140, train : gen_loss is 0.485197, disc_loss is 2.07944,, cls_loss is 1.30796
step 150, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30795
step 160, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30795
step 170, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30795
step 180, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30794
step 190, train : gen_loss is 0.485201, disc_loss is 2.07945,, cls_loss is 1.30793
step 200, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30793
step 210, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30792
step 220, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30794
step 230, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30792
step 240, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30791
step 250, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30792
step 260, train : gen_loss is 0.485194, disc_loss is 2.07944,, cls_loss is 1.30791
