step 0, train : gen_loss is 0.668982, disc_loss is 2.4726,, cls_loss is 2.72475
step 10, train : gen_loss is 0.692528, disc_loss is 2.08046,, cls_loss is 2.69957
step 20, train : gen_loss is 0.693072, disc_loss is 2.07967,, cls_loss is 2.70255
step 30, train : gen_loss is 0.693125, disc_loss is 2.07942,, cls_loss is 2.69915
step 40, train : gen_loss is 0.693122, disc_loss is 2.07945,, cls_loss is 2.69582
step 50, train : gen_loss is 0.69314, disc_loss is 2.07944,, cls_loss is 2.69443
step 60, train : gen_loss is 0.693111, disc_loss is 2.07946,, cls_loss is 2.69409
step 70, train : gen_loss is 0.693139, disc_loss is 2.07945,, cls_loss is 2.69445
step 80, train : gen_loss is 0.693129, disc_loss is 2.07944,, cls_loss is 2.69436
step 90, train : gen_loss is 0.693141, disc_loss is 2.07945,, cls_loss is 2.69381
step 100, train : gen_loss is 0.693143, disc_loss is 2.07946,, cls_loss is 2.69336
step 110, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69315
step 120, train : gen_loss is 0.693139, disc_loss is 2.07944,, cls_loss is 2.69311
step 130, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69323
step 140, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69318
step 150, train : gen_loss is 0.69314, disc_loss is 2.07946,, cls_loss is 2.69308
step 160, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69309
step 170, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69306
step 180, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.6933
step 190, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69336
step 200, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69364
step 210, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69626
step 220, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69477
step 230, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69404
step 240, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69633
step 250, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.6947
step 260, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69368
step 270, train : gen_loss is 0.693145, disc_loss is 2.07944,, cls_loss is 2.69323
step 280, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69318
step 290, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69311
step 300, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69303
step 310, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69301
step 320, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69301
step 330, train : gen_loss is 0.693145, disc_loss is 2.07944,, cls_loss is 2.69366
step 340, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69358
step 350, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69314
step 360, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69304
step 370, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69302
step 380, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.693
step 390, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69301
step 400, train : gen_loss is 0.693145, disc_loss is 2.07951,, cls_loss is 2.693
step 410, train : gen_loss is 0.693145, disc_loss is 2.07944,, cls_loss is 2.69299
step 420, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.693
step 430, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69308
step 440, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69302
step 450, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.693
step 460, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.693
step 470, train : gen_loss is 0.693145, disc_loss is 2.07944,, cls_loss is 2.69299
