step 0, train : gen_loss is 0.688239, disc_loss is 2.19062,, cls_loss is 2.77238
step 10, train : gen_loss is 0.691208, disc_loss is 2.0869,, cls_loss is 2.69724
step 20, train : gen_loss is 0.692944, disc_loss is 2.0798,, cls_loss is 2.70272
step 30, train : gen_loss is 0.693129, disc_loss is 2.07953,, cls_loss is 2.69887
step 40, train : gen_loss is 0.693133, disc_loss is 2.07944,, cls_loss is 2.6955
step 50, train : gen_loss is 0.693126, disc_loss is 2.07946,, cls_loss is 2.69432
step 60, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69401
step 70, train : gen_loss is 0.693138, disc_loss is 2.07951,, cls_loss is 2.69361
step 80, train : gen_loss is 0.693116, disc_loss is 2.07944,, cls_loss is 2.69382
step 90, train : gen_loss is 0.69313, disc_loss is 2.07943,, cls_loss is 2.6938
step 100, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69364
step 110, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.69348
step 120, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69337
step 130, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69332
step 140, train : gen_loss is 0.693144, disc_loss is 2.07946,, cls_loss is 2.69329
step 150, train : gen_loss is 0.69313, disc_loss is 2.07944,, cls_loss is 2.69316
step 160, train : gen_loss is 0.693143, disc_loss is 2.07945,, cls_loss is 2.69327
step 170, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69327
step 180, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69322
step 190, train : gen_loss is 0.693136, disc_loss is 2.07944,, cls_loss is 2.69326
step 200, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69326
step 210, train : gen_loss is 0.693122, disc_loss is 2.07945,, cls_loss is 2.69419
step 220, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69372
step 230, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69337
step 240, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69322
step 250, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69317
step 260, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69317
step 270, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69314
step 280, train : gen_loss is 0.693143, disc_loss is 2.07945,, cls_loss is 2.69314
step 290, train : gen_loss is 0.693138, disc_loss is 2.07945,, cls_loss is 2.69312
step 300, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69309
step 310, train : gen_loss is 0.693136, disc_loss is 2.07944,, cls_loss is 2.6931
step 320, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69308
step 330, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69307
step 340, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69309
step 350, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69305
step 360, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69307
step 370, train : gen_loss is 0.693136, disc_loss is 2.07944,, cls_loss is 2.69305
step 380, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69306
step 390, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.6931
step 400, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69339
step 410, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69316
step 420, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69307
step 430, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69305
step 440, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69305
step 450, train : gen_loss is 0.693144, disc_loss is 2.07946,, cls_loss is 2.69304
step 460, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69304
step 470, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69303
step 480, train : gen_loss is 0.693132, disc_loss is 2.07953,, cls_loss is 2.69314
step 490, train : gen_loss is 0.693145, disc_loss is 2.07944,, cls_loss is 2.69312
step 500, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69304
step 510, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69303
step 520, train : gen_loss is 0.693144, disc_loss is 2.07943,, cls_loss is 2.69303
step 530, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69302
step 540, train : gen_loss is 0.693144, disc_loss is 2.07943,, cls_loss is 2.69301
step 550, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69302
step 560, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69301
step 570, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69302
step 580, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69303
step 590, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69371
step 600, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69339
step 610, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69309
step 620, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69305
step 630, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69303
step 640, train : gen_loss is 0.693144, disc_loss is 2.07943,, cls_loss is 2.69301
step 650, train : gen_loss is 0.693139, disc_loss is 2.07943,, cls_loss is 2.693
step 660, train : gen_loss is 0.693134, disc_loss is 2.07945,, cls_loss is 2.693
step 670, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.693
step 680, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.693
step 690, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69302
step 700, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69301
step 710, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69303
step 720, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69301
step 730, train : gen_loss is 0.69314, disc_loss is 2.07944,, cls_loss is 2.69306
step 740, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69303
step 750, train : gen_loss is 0.693126, disc_loss is 2.0794,, cls_loss is 2.693
step 760, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.693
step 770, train : gen_loss is 0.693136, disc_loss is 2.07945,, cls_loss is 2.693
step 780, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69445
step 790, train : gen_loss is 0.69313, disc_loss is 2.07944,, cls_loss is 2.69408
step 800, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.6937
step 810, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69324
step 820, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69319
step 830, train : gen_loss is 0.693109, disc_loss is 2.07944,, cls_loss is 2.69314
step 840, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.6931
step 850, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69315
step 860, train : gen_loss is 0.693144, disc_loss is 2.07946,, cls_loss is 2.69345
step 870, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69333
step 880, train : gen_loss is 0.693141, disc_loss is 2.07943,, cls_loss is 2.69359
step 890, train : gen_loss is 0.693143, disc_loss is 2.07949,, cls_loss is 2.6933
step 900, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69312
step 910, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69307
step 920, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69324
step 930, train : gen_loss is 0.69314, disc_loss is 2.07944,, cls_loss is 2.69312
step 940, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69304
step 950, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69302
step 960, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69302
step 970, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69304
step 980, train : gen_loss is 0.693135, disc_loss is 2.07942,, cls_loss is 2.69313
step 990, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69313
test dataset : gen_loss is 0.693149, disc_loss is 2.07945, cls_loss is 2.69382
