step 0, train : gen_loss is 0.471879, disc_loss is 2.61153,, cls_loss is 1.33811
step 10, train : gen_loss is 0.484088, disc_loss is 2.09091,, cls_loss is 1.311
step 20, train : gen_loss is 0.485149, disc_loss is 2.07973,, cls_loss is 1.31081
step 30, train : gen_loss is 0.485196, disc_loss is 2.07947,, cls_loss is 1.30931
step 40, train : gen_loss is 0.485198, disc_loss is 2.0794,, cls_loss is 1.30841
step 50, train : gen_loss is 0.485199, disc_loss is 2.07941,, cls_loss is 1.30818
step 60, train : gen_loss is 0.485198, disc_loss is 2.07944,, cls_loss is 1.30812
step 70, train : gen_loss is 0.485199, disc_loss is 2.07944,, cls_loss is 1.30807
step 80, train : gen_loss is 0.485198, disc_loss is 2.07944,, cls_loss is 1.30804
step 90, train : gen_loss is 0.485201, disc_loss is 2.07946,, cls_loss is 1.308
step 100, train : gen_loss is 0.485194, disc_loss is 2.07944,, cls_loss is 1.308
step 110, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30801
step 120, train : gen_loss is 0.485191, disc_loss is 2.07944,, cls_loss is 1.30801
step 130, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30796
step 140, train : gen_loss is 0.485199, disc_loss is 2.07944,, cls_loss is 1.30794
step 150, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30795
step 160, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30794
step 170, train : gen_loss is 0.48519, disc_loss is 2.07944,, cls_loss is 1.30793
step 180, train : gen_loss is 0.485201, disc_loss is 2.07945,, cls_loss is 1.30791
step 190, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30793
step 200, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30793
step 210, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30792
step 220, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30793
step 230, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30792
step 240, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30792
step 250, train : gen_loss is 0.485193, disc_loss is 2.07944,, cls_loss is 1.30791
step 260, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30791
step 270, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.3079
step 280, train : gen_loss is 0.485201, disc_loss is 2.07945,, cls_loss is 1.30793
step 290, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30797
step 300, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30792
step 310, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30792
step 320, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30791
step 330, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30792
step 340, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.3079
step 350, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30789
step 360, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30791
step 370, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30788
step 380, train : gen_loss is 0.485201, disc_loss is 2.0794,, cls_loss is 1.30788
step 390, train : gen_loss is 0.485196, disc_loss is 2.07944,, cls_loss is 1.30789
step 400, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.3079
step 410, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30788
step 420, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.3079
step 430, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30783
step 440, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30788
step 450, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30785
step 460, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30791
step 470, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.3079
step 480, train : gen_loss is 0.485201, disc_loss is 2.07945,, cls_loss is 1.30788
