step 0, train : gen_loss is 0.682233, disc_loss is 2.47842,, cls_loss is 2.75983
step 10, train : gen_loss is 0.69066, disc_loss is 2.08775,, cls_loss is 2.69834
step 20, train : gen_loss is 0.693048, disc_loss is 2.0795,, cls_loss is 2.70199
step 30, train : gen_loss is 0.693138, disc_loss is 2.07937,, cls_loss is 2.6994
step 40, train : gen_loss is 0.693134, disc_loss is 2.07949,, cls_loss is 2.69563
step 50, train : gen_loss is 0.693116, disc_loss is 2.07945,, cls_loss is 2.69436
step 60, train : gen_loss is 0.693141, disc_loss is 2.07945,, cls_loss is 2.69395
step 70, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.69374
step 80, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69352
step 90, train : gen_loss is 0.693143, disc_loss is 2.07945,, cls_loss is 2.69339
step 100, train : gen_loss is 0.693135, disc_loss is 2.07946,, cls_loss is 2.69334
step 110, train : gen_loss is 0.693135, disc_loss is 2.07944,, cls_loss is 2.6938
step 120, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69347
step 130, train : gen_loss is 0.69314, disc_loss is 2.07944,, cls_loss is 2.69338
step 140, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69328
step 150, train : gen_loss is 0.693143, disc_loss is 2.07947,, cls_loss is 2.69321
step 160, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69321
step 170, train : gen_loss is 0.693143, disc_loss is 2.07943,, cls_loss is 2.69319
step 180, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69317
step 190, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69317
step 200, train : gen_loss is 0.693143, disc_loss is 2.07945,, cls_loss is 2.69314
step 210, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69315
step 220, train : gen_loss is 0.693142, disc_loss is 2.07952,, cls_loss is 2.69314
step 230, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69313
step 240, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69321
step 250, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69314
step 260, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.69345
step 270, train : gen_loss is 0.693136, disc_loss is 2.07944,, cls_loss is 2.69343
step 280, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69324
step 290, train : gen_loss is 0.693141, disc_loss is 2.07944,, cls_loss is 2.69315
step 300, train : gen_loss is 0.693114, disc_loss is 2.07944,, cls_loss is 2.69312
step 310, train : gen_loss is 0.693144, disc_loss is 2.07946,, cls_loss is 2.69314
step 320, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69321
step 330, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69312
step 340, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.69311
step 350, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69311
step 360, train : gen_loss is 0.693143, disc_loss is 2.07945,, cls_loss is 2.6931
step 370, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69308
step 380, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.69307
step 390, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.6931
step 400, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.6931
step 410, train : gen_loss is 0.693144, disc_loss is 2.07942,, cls_loss is 2.69307
step 420, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69309
step 430, train : gen_loss is 0.693141, disc_loss is 2.07944,, cls_loss is 2.69308
step 440, train : gen_loss is 0.693135, disc_loss is 2.07945,, cls_loss is 2.69307
step 450, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69306
step 460, train : gen_loss is 0.693136, disc_loss is 2.07947,, cls_loss is 2.69307
step 470, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69306
step 480, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69305
step 490, train : gen_loss is 0.693143, disc_loss is 2.07941,, cls_loss is 2.69304
step 500, train : gen_loss is 0.693144, disc_loss is 2.07947,, cls_loss is 2.69304
step 510, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69343
step 520, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.6932
